                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     51,                 0.5801,                0.45539,                 1.0865,                0.28369,                0.00412,                0.03853,                0.03594,                    nan,                    nan,                    nan,             0.00034656,             0.00034656,             0.00034656
                     52,                0.56073,                0.44371,                 1.0815,                 0.2837,                0.00412,                0.05601,                0.05226,                    nan,                    nan,                    nan,             0.00033531,             0.00033531,             0.00033531
                     53,                0.56149,                0.44747,                 1.0797,                0.28373,                0.00412,                0.03354,                0.03127,                    nan,                    nan,                    nan,             0.00032406,             0.00032406,             0.00032406
                     54,                0.59132,                0.48232,                 1.1043,                0.28369,                0.00412,                0.03354,                0.03127,                    nan,                    nan,                    nan,             0.00031281,             0.00031281,             0.00031281
                     55,                 0.5876,                0.48604,                 1.1024,                0.42646,                0.00412,                0.03853,                 0.0372,                    nan,                    nan,                    nan,             0.00030156,             0.00030156,             0.00030156
                     56,                0.58001,                0.47049,                 1.0937,                0.28374,                0.00412,                0.05601,                0.05222,                    nan,                    nan,                    nan,             0.00029031,             0.00029031,             0.00029031
                     57,                0.57248,                0.46322,                 1.0901,                 0.2837,                0.00412,                0.03853,                0.03468,                    nan,                    nan,                    nan,             0.00027906,             0.00027906,             0.00027906
                     58,                0.56821,                 0.4569,                 1.0868,                0.14084,                0.00412,                0.02688,                0.02419,                    nan,                    nan,                    nan,             0.00026781,             0.00026781,             0.00026781
                     59,                0.54909,                 0.4447,                 1.0758,                0.28371,                0.00412,                0.01971,                0.01836,                    nan,                    nan,                    nan,             0.00025657,             0.00025657,             0.00025657
                     60,                0.53896,                0.43026,                 1.0663,                0.28368,                0.00412,                0.05601,                0.05223,                    nan,                    nan,                    nan,             0.00024532,             0.00024532,             0.00024532
                     61,                0.52919,                 0.4266,                  1.062,                0.28366,                0.00412,                0.03853,                0.03468,                    nan,                    nan,                    nan,             0.00023407,             0.00023407,             0.00023407
                     62,                0.53786,                0.42305,                 1.0728,                0.28365,                0.00412,                0.02455,                0.02288,                    nan,                    nan,                    nan,             0.00022282,             0.00022282,             0.00022282
                     63,                0.52076,                 0.4148,                 1.0585,                 0.1408,                0.00412,                0.04552,                0.04401,                    nan,                    nan,                    nan,             0.00021157,             0.00021157,             0.00021157
                     64,                0.51864,                0.41004,                 1.0533,                0.14077,                0.00412,                0.03853,                 0.0372,                    nan,                    nan,                    nan,             0.00020032,             0.00020032,             0.00020032
                     65,                0.51195,                0.40823,                 1.0537,                0.14286,                0.00412,                0.07349,                0.06854,                    nan,                    nan,                    nan,             0.00018907,             0.00018907,             0.00018907
                     66,                0.49949,                 0.3962,                 1.0453,                0.28369,                0.00412,                0.05601,                0.05222,                    nan,                    nan,                    nan,             0.00017782,             0.00017782,             0.00017782
                     67,                0.50036,                0.39742,                 1.0439,                0.14088,                0.00412,                0.04552,                0.04097,                    nan,                    nan,                    nan,             0.00016657,             0.00016657,             0.00016657
                     68,                0.50125,                0.39576,                 1.0474,                0.28372,                0.00412,                0.05601,                0.05411,                    nan,                    nan,                    nan,             0.00015533,             0.00015533,             0.00015533
                     69,                0.48837,                0.39623,                 1.0413,                0.28375,                0.00412,                0.04552,                0.04243,                    nan,                    nan,                    nan,             0.00014408,             0.00014408,             0.00014408
                     70,                0.49643,                 0.4042,                  1.049,                 0.4266,                0.00412,                0.03354,                0.03237,                    nan,                    nan,                    nan,             0.00013283,             0.00013283,             0.00013283
                     71,                0.39198,                 0.2846,                0.98095,                0.14286,                0.00412,                0.07349,                0.06854,                    nan,                    nan,                    nan,             0.00012158,             0.00012158,             0.00012158
                     72,                0.37539,                0.27094,                0.97022,                0.14079,                0.00412,                0.05601,                0.05222,                    nan,                    nan,                    nan,             0.00011033,             0.00011033,             0.00011033
                     73,                0.35618,                0.25011,                0.96075,                0.14286,                0.00412,                0.07349,                0.06614,                    nan,                    nan,                    nan,             9.9081e-05,             9.9081e-05,             9.9081e-05
                     74,                0.35621,                0.25618,                0.95743,                0.14286,                0.00412,                0.07349,                0.06856,                    nan,                    nan,                    nan,             8.7832e-05,             8.7832e-05,             8.7832e-05
                     75,                0.34465,                0.24049,                0.94886,                0.14286,                0.00412,                0.07349,                0.06607,                    nan,                    nan,                    nan,             7.6583e-05,             7.6583e-05,             7.6583e-05
                     76,                0.33292,                0.23879,                0.93366,                0.14286,                0.00412,                0.07349,                0.06854,                    nan,                    nan,                    nan,             6.5334e-05,             6.5334e-05,             6.5334e-05
                     77,                0.32794,                0.23618,                0.93671,                0.14286,                0.00412,                0.07349,                0.06854,                    nan,                    nan,                    nan,             5.4086e-05,             5.4086e-05,             5.4086e-05
                     78,                 0.3231,                0.23553,                0.93546,                0.14087,                0.00412,                0.05601,                0.05222,                    nan,                    nan,                    nan,             4.2837e-05,             4.2837e-05,             4.2837e-05
                     79,                0.31148,                0.22536,                0.92739,                0.14091,                0.00412,                0.05601,                0.05222,                    nan,                    nan,                    nan,             3.1588e-05,             3.1588e-05,             3.1588e-05
                     80,                0.31035,                0.22112,                0.92432,                0.14286,                0.00412,                0.07349,                0.06854,                    nan,                    nan,                    nan,             2.0339e-05,             2.0339e-05,             2.0339e-05
